recipe_id,ingredient_id,quantity
60350,4717,2   cups
60350,1168,2   cups
43509,2683,1 1/2  cups
43509,335,1   teaspoon
43509,332,1   teaspoon
43509,6270,1/2  teaspoon
43509,342,3   large   ripe
43509,6906,3/4  cup
43509,2499,1
43509,840,1/3  cup
43509,800,
43509,1511,
43509,4958,
2496,6906,2   cups
2496,2683,1 3/4  cups
2496,328,3/4  cup
2496,332,1 1/2  teaspoons
2496,335,1 1/2  teaspoons
2496,6270,1   teaspoon
2496,2499,2
2496,4717,1   cup
2496,7557,1/2  cup
2496,7470,2   teaspoons
2496,673,3/4-1   cup
9272,7213,8   cups
9272,5010,2 1/2  cups
9272,3440,1 1/2  cups
9272,3957,1   cup
9272,3203,6
9272,2007,2   teaspoons
9272,5319,2   teaspoons
9272,1041,1/8  cup
9272,6906,1/3  cup
9272,7620,1/3  cup
9272,7233,1 (15   ounce) can
9272,7229,1 (12   ounce) can
27520,5010,1   large
27520,3203,2
27520,5006,1   tablespoon
27520,3484,1   lb
27520,6819,2 (16   ounce) cans
27520,7655,1 (16   ounce) can
27520,2518,8   ounces
27520,6270,
27520,5319,
27520,5180,
31750,2683,1 1/3  cups
31750,332,4   teaspoons
31750,6270,1/2  teaspoon
31750,6906,2   tablespoons
31750,2499,2
31750,840,1/2  cup
31750,4717,1 3/4  cups
89207,840,1/2  cup
89207,1689,
89207,3590,1/3  cup
89207,7449,1 1/2  teaspoons
89207,7407,
92095,3484,1   lb
92095,2499,2
92095,4717,1/4  cup
92095,728,1/2  cup
92095,6270,1/2  teaspoon
92095,2856,1   tablespoon
92095,3217,1   teaspoon
92095,2817,1/2  teaspoon
92095,4459,1/2  cup   grated
8701,5566,3   lbs
8701,3723,1 (8   ounce) jar
8701,5168,1   teaspoon
8701,1329,1   teaspoon
8701,3217,1/2  teaspoon
8701,4996,
8701,5024,1/2  teaspoon
8701,1132,1/4  teaspoon
8701,2045,1/2  cup
8701,2817,1/4  teaspoon
8701,5010,1   medium
8701,367,12   ounces
8701,7790,1/4  cup
132263,2683,1   cup
132263,6906,1   tablespoon
132263,332,2   tablespoons
132263,6270,1/8  teaspoon
132263,6706,1   cup
132263,7557,2   tablespoons
53914,7178,2   lbs
53914,4253,2   tablespoons
53914,5180,1/2  cup   grated
53914,840,4   tablespoons
53914,4623,3   tablespoons
53914,6335,3   tablespoons   finely chopped
53914,6374,1/4  teaspoon
53914,2212,1/4  teaspoon
53914,590,
53914,3800,1   dash
78814,6029,
78814,1917,1 (10 3/4  ounce) can
78814,1168,3/4  cup   grated
78814,7053,
78814,1910,
78814,840,
78814,3217,
78814,5010,
78814,1708,
78814,6374,
78814,3486,
78814,4623,
50719,840,1/2  cup
50719,3355,1   cup
50719,2499,2   large
50719,7449,1   teaspoon
50719,332,2   teaspoons
50719,6270,1/4  teaspoon
50719,63,2   cups
50719,4717,1   cup
50719,2763,2 1/2  cups
50719,4284,
50719,3527,
15411,5261,1   cup
15411,3355,1   cup
15411,2499,1   large
15411,6906,
73825,63,
73825,335,
73825,332,
73825,6270,
73825,3497,
73825,7790,
73825,7557,
73825,2499,
73825,7470,
73825,1093,
73825,2665,
73825,7642,
73825,1982,
73825,1910,
73825,840,
73825,3834,
90674,2499,4
90674,7853,2/3  cup
90674,2683,1/3  cup
90674,6906,1/3  cup
90674,7449,1/2  teaspoon
90674,6270,1/4  teaspoon
90674,1511,1/8  teaspoon
90674,7141,
90674,840,3   tablespoons
90674,5695,
90674,7040,
32844,5006,1   tablespoon
32844,6324,
32844,2347,1/4  teaspoon   crushed
32844,5010,1/4  cup   diced
32844,3184,1 1/2  cloves
32844,3934,
32844,7705,3/4  cup
32844,6270,1/4  teaspoon
32844,5219,6   ounces
32844,5185,1 1/2  tablespoons   minced
32844,5180,grated
200296,1252,6
200296,2404,1   cup
200296,5180,1/4-1/3  cup
200296,6374,1   teaspoon
200296,3486,1/2-1   teaspoon
200296,3217,1/2-1   teaspoon
200296,2200,1   cup   prepared
200296,840,1/4  cup   melted
31128,5217,
31128,6906,
31128,2683,
31128,1511,
31128,4964,
31128,68,
31128,6270,
31128,150,
31128,800,
31128,6156,
31128,840,
31128,5298,
71373,7655,1   cup
71373,2499,1   tablespoon
71373,7557,1   large
71373,721,4 1/2  teaspoons
71373,6906,3 1/4  cups
71373,6270,1/4  cup
71373,7956,1 1/2  teaspoons
71373,840,2 1/4  teaspoons
71373,6473,2   tablespoons   melted
33921,7655,2   cups
33921,6270,1   teaspoon
33921,4305,1   cup
33921,5010,1   small
33921,4969,1   cup
33921,1168,
33921,2499,1
33921,6711,4 1/2  ounces
33921,3217,1   teaspoon
33921,2212,1   teaspoon
33921,2324,1   tablespoon
33921,6374,1/2  teaspoon
33921,590,1/4  teaspoon
26370,63,
26370,6270,
26370,332,
26370,335,
26370,7407,
26370,6906,
26370,7557,
26370,3778,
26370,4717,
26370,2499,
26370,7449,
26370,840,
26370,6473,
205890,1938,1   cup
205890,800,1   cup   packed
205890,7790,1   cup
205890,840,1   cup
205890,2499,2
205890,335,1   teaspoon
205890,332,1   teaspoon
205890,7470,1   teaspoon
205890,2683,2 1/2  cups
34382,5985,2 1/2  lbs
34382,3203,3
34382,840,2   tablespoons
34382,4717,1/2  cup
34382,6270,1   teaspoon
34382,5180,1/4  cup   grated
349246,840,2   tablespoons   melted
349246,7655,
349246,7470,1/4  teaspoon
349246,6270,1   dash
349246,7790,2   tablespoons
349246,7407,2   tablespoons
349246,2683,4   tablespoons
349246,1427,to make triple chocolate add
114392,5006,2   tablespoons
114392,840,1   tablespoon
114392,5010,1/2  cup
114392,1124,1/4  cup
114392,3203,1
114392,7233,1 (8   ounce) can
114392,7229,1 (6   ounce) can
114392,5180,2   tablespoons   grated
114392,2212,1   teaspoon
114392,2320,1   teaspoon
114392,6270,1/2  teaspoon
114392,6906,1/2  teaspoon
114392,590,1/4  teaspoon
114392,393,1   small
114392,2587,1   teaspoon
63071,2683,2   cups
63071,332,4   teaspoons
63071,6270,1/2  teaspoon
63071,6906,1/4  cup
63071,2499,2
63071,7557,1/2  cup
63071,4717,2   cups
63071,7449,1   teaspoon
27144,912,
27144,3865,
27144,1388,
27144,7655,
27144,2499,
27144,7470,
27144,1584,
27144,840,
27144,5695,
27144,3815,
27210,7655,1/2  cup
27210,6696,1/3  cup
27210,7557,1/4  cup
27210,4263,3   tablespoons
27210,3203,2
27210,5591,6
9836,1252,2   lbs
9836,1672,2 (10 1/2  ounce) cans
9836,1168,1 (10 1/2  ounce) can
9836,3217,1/4  teaspoon
9836,6276,
106251,1112,1   large
106251,3203,16
106251,2879,1 -2   teaspoon   minced
106251,6270,1   teaspoon
106251,590,1/4-1/2  teaspoon
106251,5006,1/4  cup
43023,5313,1 (1   lb) box
43023,840,2   tablespoons
43023,3203,2
43023,2683,2   tablespoons
43023,1257,3/4  cup
43023,4717,3/4  cup
43023,5186,2   teaspoons
43023,6276,
43023,5180,1/3  cup   grated
63786,7253,3/4  lb
63786,5006,2   tablespoons
63786,4384,1   tablespoon
63786,3203,1
63786,1329,1/2  teaspoon
63786,2007,1/2  teaspoon
63786,3794,1/2  teaspoon
63786,590,1/2  teaspoon
63786,6270,1/2  teaspoon
63786,7258,8
63786,5010,1 -2
63786,6985,2   small
63786,6265,
63786,6654,
63786,1170,
63786,1480,
66596,5006,
66596,4287,
66596,2320,
66596,3184,
66596,2212,
66596,6009,
66596,6270,
66596,6906,
66596,2816,
66596,4308,
66596,5519,
66596,2534,
66596,5966,
66596,3399,
66596,2591,
